# 央视频道列表
# 更新时间: 2026-06-19 14:10:35
# 共 16 个频道
#genre#
CGTN-西咪咕,http://rihou.cc:555/tv/[mg]CGTN-西
CGTN-阿咪咕,http://rihou.cc:555/tv/[mg]CGTN-阿
CGTN-法咪咕,http://rihou.cc:555/tv/[mg]CGTN-法
央视综合Pdtv,http://rihou.cc:555/tv/[Pd]央视综合
央视网抖直播,http://iptv77.iptv66.eu.org:35455/bilibili/8178490
央视网快看播,http://iptv77.iptv66.eu.org:35455/bilibili/22142427
央视七套直播,http://iptv77.iptv66.eu.org:35455/bilibili/32558016
央视一套直播,video://https://live.douyin.com/456815963645
央视二套直播,video://https://live.douyin.com/296728101980
央视三套直播,video://https://live.douyin.com/212606968812
央视四套直播,video://https://live.douyin.com/166806983360
小央视频直播,video://https://live.douyin.com/547977714661
央视频抖直播,video://https://live.douyin.com/50828500437
央视新闻直播,video://https://live.douyin.com/282773369501
央视新闻抖播,video://https://live.douyin.com/282773369501
央视频看抖播,video://https://live.douyin.com/50828500437
